time_ms,angle
597,-2.47
35611,-2.47
35624,-2.48
35638,-2.48
35651,-2.48
35664,-2.20
35679,-2.48
35692,-2.20
35705,-2.20
35719,-20
35597,-2.47
35611,-2.47
35624,-2.48
35638,-2.48
35651,-2.48
35664,-2.20
35679,-2.48
35692,-2.20
35705,-2.20
35719,-0,-2.47
11,-2.19
22,-2.19
32,-2.19
44,-2.45
55,-2.48
66,-2.48
77,-2.20
88,-2.47
99,-2.47
110,-2.19
121,-2.20
132,-2.47
143,-2.21
154,-2.48
165,-2.19
177,-2.47
187,-2.21
198,-2.19
209,-2.48
221,-2.20
232,-2.48
243,-2.19
253,-2.20
265,-2.47
276,-2.20
287,-2.20
299,-2.20
309,-2.19
320,-2.19
331,-2.48
343,-2.47
354,-2.47
364,-2.20
375,-2.20
387,-2.48
398,-2.48
409,-2.76
420,-2.48
431,-2.19
442,-2.20
453,-2.20
464,-2.19
476,-2.19
486,-2.48
497,-2.47
508,-2.48
520,-2.20
531,-2.48
542,-2.20
552,-2.20
564,-2.22
575,-1.05
586,-2.23
598,-2.71
608,-2.80
619,-2.45
630,-2.20
642,-2.18
653,-2.18
663,-2.49
674,-2.48
686,-2.49
697,-2.48
708,-2.20
719,-2.20
730,-2.19
741,-2.49
752,-2.20
763,-2.20
775,-2.48
785,-2.48
796,-2.19
807,-2.19
819,-2.48
830,-2.19
841,-2.47
851,-2.18
863,-2.47
874,-2.19
885,-2.20
897,-2.48
907,-2.47
918,-2.20
929,-2.48
941,-2.20
952,-2.20
962,-2.20
973,-2.19
985,-2.19
996,-2.19
1007,-2.19
1018,-2.48
1029,-2.48
1040,-2.48
1051,-2.20
1062,-2.48
1074,-2.20
1085,-2.47
1096,-2.20
1106,-2.48
1118,-2.20
1129,-2.18
1140,-2.20
1152,-2.19
1163,-2.19
1174,-2.20
1184,-2.47
1196,-2.19
1207,-2.19
1218,-2.20
1229,-2.19
1242,-2.48
1254,-2.19
1267,-2.48
1280,-2.47
1292,-2.79
1304,-2.19
1316,-2.50
1330,-2.19
1342,-2.75
1354,-2.19
1367,-2.20
1379,-2.20
1391,-2.19
1404,-2.49
1417,-2.18
1429,-2.47
1441,-2.47
1454,-2.48
1467,-2.75
1479,-1.63
1491,-2.20
1504,-2.48
1516,-1.92
1529,-2.75
1542,-2.48
1554,-2.47
1566,-2.47
1579,-2.20
1591,-2.47
1604,-2.47
1616,-2.20
1629,-2.47
1641,-2.47
1653,-2.20
1667,-2.19
1679,-2.47
1691,-2.47
1703,-2.49
1716,-2.19
1729,-2.47
1741,-2.19
1754,-2.47
1766,-2.47
1778,-2.75
1790,-2.48
1804,-2.48
1816,-2.47
1828,-2.20
1841,-2.77
1853,-2.47
1866,-2.48
1879,-2.47
1891,-2.47
1903,-2.48
1915,-2.76
1929,-2.19
1941,-2.19
1953,-2.47
1966,-2.19
1978,-2.47
1990,-2.48
2003,-2.21
2016,-2.48
2028,-2.47
2040,-2.20
2053,-2.20
2066,-2.20
2078,-2.76
2091,-2.49
2103,-2.20
2115,-4.16
2128,-2.20
2141,-1.05
2153,12.52
2165,4.13
2177,2.13
2188,2.26
2200,-1.94
2212,-7.47
2225,-11.07
2238,-10.25
2251,-7.23
2265,-1.62
2277,-2.48
2289,-2.20
2301,-2.49
2314,-2.49
2326,-2.45
2339,-2.76
2352,-2.18
2364,-2.48
2376,-2.48
2388,-2.45
2402,-3.60
2414,-12.21
2427,-8.25
2440,-2.48
2452,0.62
2464,-1.08
2477,-1.06
2489,0.90
2500,0.89
2511,-2.50
2524,-8.25
2537,-6.67
2549,-0.51
2562,0.33
2573,-1.93
2585,-2.19
2598,-2.76
2611,-1.35
2623,-2.76
2635,-3.30
2648,-4.14
2661,-3.03
2673,-1.94
2685,1.18
2697,-1.05
2709,-3.04
2721,-4.75
2735,-4.18
2747,-3.04
2759,-4.08
2771,-4.18
2784,-3.55
2797,-2.45
2809,-1.92
2822,-7.41
2834,-4.10
