time_ms,tempature
0,17.94
10,17.94
20,17.94
31,17.94
41,17.94
52,18.43
63,18.43
73,17.94
83,17.94
94,17.94
105,17.94
115,17.94
125,17.94
137,18.43
147,17.94
158,17.94
168,17.94
179,17.94
190,17.94
200,17.94
210,17.94
222,17.94
232,18.43
242,17.94
253,17.94
264,17.94
274,17.94
285,17.94
295,17.94
306,17.94
317,17.94
327,17.94
338,17.94
349,17.94
359,17.94
370,17.94
380,17.94
391,17.94
402,17.94
412,17.94
422,17.94
434,18.43
444,17.94
454,17.94
465,17.94
476,17.94
486,18.43
497,17.94
507,17.94
519,17.94
529,17.94
539,18.43
550,17.94
561,18.43
571,17.94
582,17.94
592,17.94
603,17.94
614,18.43
624,17.94
634,17.94
646,17.94
656,17.94
666,17.94
677,18.43
688,18.43
699,17.94
709,17.94
719,17.94
731,17.94
741,17.94
751,17.94
762,17.94
773,17.94
783,18.43
794,17.94
804,17.94
815,17.94
826,17.94
837,17.94
848,18.43
860,17.94
871,17.94
882,17.94
893,17.94
906,17.94
917,17.94
928,17.94
940,18.43
951,18.43
963,17.94
974,17.94
986,17.94
997,17.94
1008,17.94
1020,17.94
1034,17.94
1046,17.94
1058,17.45
1071,17.94
1083,17.94
1096,17.94
1108,17.94
1121,17.94
1133,17.94
1145,17.94
1158,17.94
1171,17.94
1183,17.94
1196,17.94
1208,17.94
1220,17.94
1233,17.94
1246,17.94
1258,17.94
1270,17.94
1283,17.94
1296,17.94
1308,17.94
1320,17.94
1333,17.94
1345,17.94
1357,17.94
1371,17.94
1383,17.94
1395,17.94
1408,17.94
1420,17.94
1433,17.94
1445,17.94
1458,17.94
1470,17.94
1482,17.94
1496,17.94
1508,17.94
1520,17.94
1532,17.94
1545,17.94
1557,18.43
1570,18.43
1583,18.43
1595,18.43
1607,18.43
1619,17.94
1633,17.94
1645,17.94
1657,18.43
1670,18.43
1682,17.94
1695,18.43
1708,18.43
1720,18.43
1732,18.43
1744,18.43
1757,18.43
1770,17.94
1782,17.94
1795,18.43
1807,18.43
1819,17.94
1832,18.43
1845,17.94
1857,18.43
1869,18.43
1882,17.94
1895,18.43
1907,17.94
1920,18.43
1932,17.94
1944,17.94
1956,17.94
1970,18.43
1982,18.43
1994,17.94
2007,18.43
2019,18.43
2032,18.43
2044,17.94
2057,18.43
2069,18.43
2081,17.94
